model,pcbType,pcbSize,count,MatrixSize,PanelRows,ETNcount
LX3325,digit,18,9,9 x 48,3P 1R,6
LX3340,Fposs,7,2,9 x 64,4P 1R,8
LX3340,digit,24,14,9 x 64,4P 1R,8
LX3360,Fposs,10,2,14 x 80,5P 2R,20
LX3360,digit,24,14,14 x 80,5P 2R,20
LX3365,Fposs,10,2,14 x 72,4.5P 2R,16 + 4H
LX3365,digit,24,15,14 x 72,4.5P 2R,16 + 4H
LX3450,digit,18,12,9 x 56,3.5P 1R,6 + 2H
LX3620,Fposs,7,2,9 x 72,4.5P 1R,8 + 2H
LX3620,digit,11,2,9 x 72,4.5P 1R,8 + 2H
LX3620,digit,15,6,9 x 72,4.5P 1R,8 + 2H
LX3620,digit,18,8,9 x 72,4.5P 1R,8 + 2H
LX3625,Fposs,7,2,9 x 64,4P 1R,8
LX3625,digit,11,2,9 x 64,4P 1R,8
LX3625,digit,15,6,9 x 64,4P 1R,8
LX3625,digit,18,9,9 x 64,4P 1R,8
LX3630,Fposs,10,2,14 x 72,4.5P 2R,16 + 4H
LX3630,digit,18,2,14 x 72,4.5P 2R,16 + 4H
LX3630,digit,24,14,14 x 72,4.5P 2R,16 + 4H
LX3640,Fposs,10,2,14 x 96,6P 2R,24
LX3640,digit,15,2,14 x 96,6P 2R,24
LX3640,digit,24,14,14 x 96,6P 2R,24
LX3645,Fposs,10,2,14 x 88,5.5P 2R,20 + 4H
LX3645,digit,15,2,14 x 88,5.5P 2R,20 + 4H
LX3645,digit,24,15,14 x 88,5.5P 2R,20 + 4H
LX3650,Fposs,10,2,14 x 96,6P 2R,24
LX3650,bottom,30,4,14 x 96,6P 2R,24
LX3650,digit,18,2,14 x 96,6P 2R,24
LX3650,digit,24,10,14 x 96,6P 2R,24
LX3650,middle,30,4,14 x 96,6P 2R,24
LX3650,top,30,4,14 x 96,6P 2R,24
LX3655,Fposs,10,2,14 x 88,5.5P 2R,20 + 4H
LX3655,bottom,30,5,14 x 88,5.5P 2R,20 + 4H
LX3655,digit,18,2,14 x 88,5.5P 2R,20 + 4H
LX3655,digit,24,10,14 x 88,5.5P 2R,20 + 4H
LX3655,middle,30,5,14 x 88,5.5P 2R,20 + 4H
LX3655,top,30,5,14 x 88,5.5P 2R,20 + 4H
LX3680,Fposs,10,2,14 x 96,6P 2R,24
LX3680,digit,18,2,14 x 96,6P 2R,24
LX3680,digit,24,14,14 x 96,6P 2R,24
LX3685,Fposs,10,2,14 x 88,5.5P 2R,20 + 4H
LX3685,digit,18,2,14 x 88,5.5P 2R,20 + 4H
LX3685,digit,24,15,14 x 88,5.5P 2R,20 + 4H
LX3690,Fposs,10,2,14 x 96,6P 2R,24
LX3690,bottom,30,4,14 x 96,6P 2R,24
LX3690,digit,18,2,14 x 96,6P 2R,24
LX3690,digit,24,10,14 x 96,6P 2R,24
LX3690,middle,30,4,14 x 96,6P 2R,24
LX3690,top,30,4,14 x 96,6P 2R,24
LX3695,Fposs,10,2,14 x 88,5.5P 2R,20 + 4H
LX3695,bottom,30,5,14 x 88,5.5P 2R,20 + 4H
LX3695,digit,18,2,14 x 88,5.5P 2R,20 + 4H
LX3695,digit,24,10,14 x 88,5.5P 2R,20 + 4H
LX3695,middle,30,5,14 x 88,5.5P 2R,20 + 4H
LX3695,top,30,5,14 x 88,5.5P 2R,20 + 4H
LX3740,Fposs,10,2,14 x 112,7P 2R,28
LX3740,bottom,30,8,14 x 112,7P 2R,28
LX3740,digit,18,2,14 x 112,7P 2R,28
LX3740,digit,24,6,14 x 112,7P 2R,28
LX3740,middle,30,8,14 x 112,7P 2R,28
LX3740,top,30,8,14 x 112,7P 2R,28
LX3745,Fposs,10,2,14 x 112,7P 2R,28
LX3745,bottom,30,9,14 x 112,7P 2R,28
LX3745,digit,18,2,14 x 112,7P 2R,28
LX3745,digit,24,6,14 x 112,7P 2R,28
LX3745,middle,30,9,14 x 112,7P 2R,28
LX3745,top,30,9,14 x 112,7P 2R,28
LX3780,Fposs,10,2,14 x 112,7P 2R,28
LX3780,bottom,30,8,14 x 112,7P 2R,28
LX3780,digit,18,2,14 x 112,7P 2R,28
LX3780,digit,24,6,14 x 112,7P 2R,28
LX3780,middle,30,8,14 x 112,7P 2R,28
LX3780,top,30,8,14 x 112,7P 2R,28
LX3785,Fposs,10,2,14 x 112,7P 2R,28
LX3785,bottom,30,9,14 x 112,7P 2R,28
LX3785,digit,18,2,14 x 112,7P 2R,28
LX3785,digit,24,6,14 x 112,7P 2R,28
LX3785,middle,30,9,14 x 112,7P 2R,28
LX3785,top,30,9,14 x 112,7P 2R,28
LX3840,Fposs,10,2,14 x 112,7P 2R,28
LX3840,bottom,30,8,14 x 112,7P 2R,28
LX3840,digit,18,2,14 x 112,7P 2R,28
LX3840,digit,24,6,14 x 112,7P 2R,28
LX3840,middle,30,8,14 x 112,7P 2R,28
LX3840,top,30,8,14 x 112,7P 2R,28
LX3845,Fposs,10,2,14 x 112,7P 2R,28
LX3845,bottom,30,9,14 x 112,7P 2R,28
LX3845,digit,18,2,14 x 112,7P 2R,28
LX3845,digit,24,6,14 x 112,7P 2R,28
LX3845,middle,30,9,14 x 112,7P 2R,28
LX3845,top,30,9,14 x 112,7P 2R,28
LX3880,Fposs,10,2,14 x 112,7P 2R,28
LX3880,bottom,30,8,14 x 112,7P 2R,28
LX3880,digit,18,2,14 x 112,7P 2R,28
LX3880,digit,24,6,14 x 112,7P 2R,28
LX3880,middle,30,8,14 x 112,7P 2R,28
LX3880,top,30,8,14 x 112,7P 2R,28
LX3885,Fposs,10,2,14 x 112,7P 2R,28
LX3885,bottom,30,9,14 x 112,7P 2R,28
LX3885,digit,18,2,14 x 112,7P 2R,28
LX3885,digit,24,6,14 x 112,7P 2R,28
LX3885,middle,30,9,14 x 112,7P 2R,28
LX3885,top,30,9,14 x 112,7P 2R,28
LX6360,digit,18,1,9 x 56,3.5P 1R,6 + 2H
LX6360,digit,24,8,9 x 56,3.5P 1R,6 + 2H
LX6430,digit,15,5,9 x 64,4P 1R,8
LX6430,digit,18,8,9 x 64,4P 1R,8
LX6434,digit,15,5,9 x 64,4P 1R,8
LX6434,digit,18,8,9 x 64,4P 1R,8
LX6435,digit,15,5,9 x 48,3P 1R,6
LX6435,digit,18,9,9 x 48,3P 1R,6
LX6436,digit,15,5,9 x 48,3P 1R,6
LX6436,digit,18,9,9 x 48,3P 1R,6
LX6540,digit,18,9,14 x 88,5.5P 2R,20 + 4H
LX6540,digit,24,8,14 x 88,5.5P 2R,20 + 4H
LX6544,digit,18,9,14 x 88,5.5P 2R,20 + 4H
LX6544,digit,24,8,14 x 88,5.5P 2R,20 + 4H
LX6545,digit,18,9,14 x 80,5P 2R,20
LX6545,digit,24,9,14 x 80,5P 2R,20
LX6546,digit,18,9,14 x 80,5P 2R,20
LX6546,digit,24,9,14 x 80,5P 2R,20
LX6630,digit,11,9,9 x 40,2.5P 1R,4 + 2H
LX6650,digit,15,5,9 x 40,2.5P 1R,4 + 2H
LX6650,digit,18,4,9 x 40,2.5P 1R,4 + 2H
LX6655,digit,15,5,9 x 40,2.5P 1R,4 + 2H
LX6655,digit,18,5,9 x 40,2.5P 1R,4 + 2H
LX6740,digit,18,13,14 x 112,7P 2R,28
LX6740,digit,24,8,14 x 112,7P 2R,28
LX6744,digit,18,13,14 x 112,7P 2R,28
LX6744,digit,24,8,14 x 112,7P 2R,28
LX6745,digit,18,13,14 x 96,6P 2R,24
LX6745,digit,24,9,14 x 96,6P 2R,24
LX6746,digit,18,13,14 x 96,6P 2R,24
LX6746,digit,24,9,14 x 96,6P 2R,24
LX6940,Fposs,10,2,14 x 112,7P 2R,28
LX6940,digit,15,2,14 x 112,7P 2R,28
LX6940,digit,18,13,14 x 112,7P 2R,28
LX6940,digit,24,8,14 x 112,7P 2R,28
LX6944,Fposs,10,2,14 x 112,7P 2R,28
LX6944,digit,15,2,14 x 112,7P 2R,28
LX6944,digit,18,13,14 x 112,7P 2R,28
LX6944,digit,24,8,14 x 112,7P 2R,28
LX6945,Fposs,10,2,14 x 96,6P 2R,24
LX6945,digit,15,2,14 x 96,6P 2R,24
LX6945,digit,18,13,14 x 96,6P 2R,24
LX6945,digit,24,9,14 x 96,6P 2R,24
LX6946,Fposs,10,2,14 x 96,6P 2R,24
LX6946,digit,15,2,14 x 96,6P 2R,24
LX6946,digit,18,13,14 x 96,6P 2R,24
LX6946,digit,24,9,14 x 96,6P 2R,24
LX7740,digit,15,21,9 x 56,3.5P 1R,6 + 2H
LX7740,digit,18,8,9 x 56,3.5P 1R,6 + 2H
LX7770,digit,18,21,14 x 112,7P 2R,28
LX7770,digit,24,8,14 x 112,7P 2R,28
LX8350,colonDec,12,1,9 x 48,3P 1R,6
LX8350,digit,9,1,9 x 48,3P 1R,6
LX8350,digit,12,8,9 x 48,3P 1R,6
LX8350,half,12,2,9 x 48,3P 1R,6
LX8440,colon,9,4,9 x 48,3P 1R,6
LX8440,colonDec,12,1,9 x 48,3P 1R,6
LX8440,digit,9,25,9 x 48,3P 1R,6
LX8440,digit,12,8,9 x 48,3P 1R,6
LX8440,half,12,2,9 x 48,3P 1R,6
LX8650,colon,9,4,9 x 48,3P 1R,6
LX8650,colonDec,12,1,9 x 48,3P 1R,6
LX8650,digit,9,25,9 x 48,3P 1R,6
LX8650,digit,12,8,9 x 48,3P 1R,6
LX8650,half,12,2,9 x 48,3P 1R,6
LX8750,colon,9,4,9 x 48,3P 1R,6
LX8750,colonDec,12,1,9 x 48,3P 1R,6
LX8750,digit,9,25,9 x 48,3P 1R,6
LX8750,digit,12,8,9 x 48,3P 1R,6
LX8750,half,12,2,9 x 48,3P 1R,6
LX8850,colon,9,4,9 x 56,3.5P 1R,6 + 2H
LX8850,colonDec,12,1,9 x 56,3.5P 1R,6 + 2H
LX8850,digit,9,25,9 x 56,3.5P 1R,6 + 2H
LX8850,digit,12,8,9 x 56,3.5P 1R,6 + 2H
LX8850,half,12,2,9 x 56,3.5P 1R,6 + 2H
